city,month,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors
Birmingham,2023-05-01,7.28,7.095000000000001,2.2828083128251153,30,1
Birmingham,2023-06-01,7.905862068965517,6.38,3.682995206972347,29,1
Birmingham,2023-07-01,4.0937931034482755,4,1.3488974698754732,29,1
Birmingham,2023-08-01,3.9065384615384615,3.63,1.146769174010855,26,1
Birmingham,2023-09-01,7.992068965517241,6.25,4.566360992010991,29,1
Birmingham,2023-10-01,5.8289285714285715,5.375,2.5449897610005987,28,1
Birmingham,2023-11-01,6.71103448275862,5.83,3.7186118231976857,29,1
Birmingham,2023-12-01,5.990666666666666,5.98,2.874766477272645,30,1
Birmingham,2024-01-01,6.751935483870968,6.48,2.7375237220948896,31,1
Birmingham,2024-02-01,5.304642857142857,4.545,2.498136315918339,28,1
Birmingham,2024-03-01,8.306,4.915,7.09536497566764,30,1
Birmingham,2024-04-01,4.521,4.195,1.6232971644805296,20,1
Birmingham,2024-05-01,8.818387096774194,8.04,5.069586503042231,31,1
Birmingham,2024-06-01,5.395185185185185,4.71,2.1924772963834074,27,1
Birmingham,2024-07-01,4.147741935483871,4,1.4770685149475844,31,1
Birmingham,2024-08-01,6.148387096774194,5.32,2.819701044170219,31,1
Birmingham,2024-09-01,8.718,5.41,6.800351613627455,30,1
Birmingham,2024-10-01,6.07,5.78,2.413567420294634,27,1
Birmingham,2025-03-01,6.505,6.505,1.8738329701443512,2,1
Birmingham,2025-04-01,9.031666666666666,7.324999999999999,4.471944021712854,30,1
Birmingham,2025-05-01,6.590731707317073,5.87,2.95569229643742,41,2
Birmingham,2025-06-01,5.6946666666666665,4.455,2.9643934793756674,60,2
Birmingham,2025-07-01,5.535161290322581,4.41,3.5702264895484874,62,2
Birmingham,2025-08-01,6.501451612903225,5.13,3.3342464662379574,62,2
Birmingham,2025-09-01,4.450666666666667,3.87,2.1617960726874785,60,2
Birmingham,2025-10-01,6.952115384615385,5.73,3.9081495227674807,52,2
Birmingham,2025-11-01,5.001666666666667,4.67,1.5771566784583568,24,2
Birmingham,2025-12-01,4.895357142857143,4.855,1.6221875539891992,28,2
London,2016-01-01,5.973333333333334,6.43,2.34853855266064,3,3
London,2016-02-01,11.185283018867924,9.64,5.559572342356775,53,3
London,2016-03-01,16.588444444444445,12.6,12.958494924452868,45,2
London,2016-04-01,11.64186440677966,10.5,4.859830944475712,59,2
London,2016-05-01,14.355,12.25,6.875848621246331,62,2
London,2016-06-01,11.636949152542373,10.8,5.033641738596657,59,2
London,2016-07-01,10.732884615384615,9.280000000000001,10.215186183850937,52,2
London,2016-08-01,9.4744,7.92,4.395730011423965,25,1
London,2016-09-01,10.158260869565218,8.415,4.803980897523233,46,2
London,2016-10-01,9.961833333333333,8.29,5.358500135351773,60,2
London,2016-11-01,8.252,7.705,3.0055830101278573,40,2
London,2016-12-01,20.273272727272726,18.9,10.128281096997553,55,2
London,2017-01-01,20.636808510638296,17,15.162926628484211,47,2
London,2017-02-01,15.050212765957447,10.6,11.483876691552814,47,2
London,2017-03-01,11.295593220338983,8.61,7.950085939935935,59,2
London,2017-04-01,12.590555555555556,10.45,7.334347354135277,36,2
London,2017-05-01,9.814838709677419,7.46,5.368542863116423,31,1
London,2017-06-01,7.796333333333333,6.775,4.056445261669327,30,1
London,2017-07-01,5.9645,5.5,1.7843927907215236,20,1
London,2017-08-01,7.382727272727273,6.6,3.537704638964948,22,1
London,2017-09-01,7.931724137931035,5.43,7.6631255600931985,29,1
London,2017-10-01,7.620344827586207,5.91,5.191962526525716,29,1
London,2017-11-01,10.083571428571428,8.31,6.281719636158683,28,1
London,2017-12-01,6.26,6.0649999999999995,2.7401510152192157,30,1
London,2018-01-01,8.847,6.665,5.8788411654233235,30,1
London,2018-02-01,9.58148148148148,6.53,6.015527154918923,27,1
London,2018-03-01,12.469999999999999,8.67,11.210218245130122,30,1
London,2018-04-01,11.626,7.385,8.086351464041122,30,1
London,2018-05-01,13.877,12.75,7.3530984086231665,30,1
London,2018-06-01,8.615357142857142,8.195,3.445820315324443,28,1
London,2018-07-01,8.699333333333334,7.35,3.143259820449238,30,1
London,2018-08-01,4.9472,4.85,1.1633877255670182,25,1
London,2018-09-01,5.489,5.055,1.6903842602699604,20,1
London,2018-10-01,7.894285714285714,6.835,4.759554467611304,28,1
London,2018-11-01,13.100344827586207,12.1,8.456469409679627,29,1
London,2018-12-01,7.530344827586207,5.67,4.822665595733946,29,1
London,2019-01-01,11.031666666666666,8.43,6.876249520724533,30,1
London,2019-02-01,14.719629629629631,10.7,10.53278306471367,27,1
London,2019-03-01,9.389666666666667,6.255,8.733708570950764,30,1
London,2019-04-01,20.416551724137932,15.3,13.680167155375505,29,1
London,2019-05-01,8.263103448275862,7,3.462937546823791,29,1
London,2019-06-01,6.696551724137931,5.36,3.952773236116339,29,1
London,2019-07-01,6.003571428571429,5.605,1.921747303474809,28,1
London,2019-08-01,6.919655172413793,5.5,4.106798790471566,29,1
London,2019-09-01,5.2755,4.795,2.220989525793449,20,1
London,2019-10-01,7.132758620689655,5.45,4.439649999518723,29,1
London,2019-11-01,9.717241379310344,8.95,4.994470439933492,29,1
London,2019-12-01,8.295333333333334,6.58,4.503964332967533,30,1
London,2020-01-01,10.155666666666667,5.93,7.720426861226018,30,1
London,2020-02-01,5.815925925925926,4.77,3.7445121478066046,27,1
London,2020-03-01,8.227586206896552,6,5.990805249459025,29,1
London,2020-04-01,14.621153846153847,11.15,9.085269540051337,26,1
London,2020-05-01,6.868,6.04,3.5705040695040275,30,1
London,2020-06-01,6.7572413793103445,5.93,2.624218110153036,29,1
London,2020-07-01,4.150666666666667,4.26,0.908682006262778,30,1
London,2020-08-01,9.7184,5.76,8.124941374147467,25,1
London,2020-09-01,7.351333333333334,5.625,4.521513122787574,30,1
London,2020-10-01,4.74925925925926,4.18,1.914099358256084,27,1
London,2020-11-01,11.456896551724139,6.52,10.531436987639937,29,1
London,2020-12-01,6.88,5.42,3.972651147893197,29,1
London,2021-01-01,7.902,6.5,4.716864388041318,30,1
London,2021-02-01,8.1548,6.87,3.069649980046585,25,1
London,2021-03-01,11.232000000000001,9.18,7.405102807267897,30,1
London,2021-04-01,9.924285714285714,8.275,6.431483573203072,28,1
London,2021-05-01,5.455555555555556,4.56,2.9463684731355615,27,1
London,2021-06-01,7.0088888888888885,6.81,2.8469650957484984,27,1
London,2021-07-01,8.788260869565217,7,4.684588516104418,23,1
London,2021-08-01,4.854137931034483,4.82,1.2192401534251314,29,1
London,2021-09-01,9.459310344827585,8.24,5.17522596541479,29,1
London,2021-10-01,6.136206896551724,5.17,4.041304964093638,29,1
London,2021-11-01,7.491379310344828,7.48,3.8872977431427045,29,1
London,2021-12-01,6.722333333333333,5.65,3.832943123567808,30,1
London,2022-01-01,10.985333333333333,8.915,6.610159752534199,30,1
London,2022-02-01,4.568518518518519,3.86,1.6335113281698597,27,1
London,2022-03-01,14.496666666666666,10.7,9.683433536585628,30,1
London,2022-04-01,8.480344827586206,7.83,4.300451373949534,29,1
London,2022-05-01,7.222666666666666,5.535,4.726643434924994,30,1
London,2022-06-01,5.979259259259259,5.79,1.9033188138413666,27,1
London,2022-07-01,5.1738709677419354,4.55,2.823085401257939,31,1
London,2022-08-01,6.276774193548388,5.5,3.0327472552091277,31,1
London,2022-09-01,6.032068965517242,5.75,2.655103413792208,29,1
London,2022-10-01,6.469655172413793,6.29,2.012036073871832,29,1
London,2022-11-01,6.367586206896552,5.68,2.829870839016728,29,1
London,2022-12-01,11.905666666666667,13,7.158070768470846,30,1
London,2023-01-01,9.220384615384615,6.13,9.06340001578623,26,1
London,2023-02-01,20.0575,18.165,15.045593762516209,4,1
London,2023-03-01,4.926666666666667,4.73,1.0236942903035067,9,1
London,2023-04-01,8.278,7.82,4.151446535044543,25,1
London,2023-05-01,7.692413793103448,7.4,2.6892214157001093,29,1
London,2023-06-01,8.812142857142858,6.8100000000000005,4.584057201135303,28,1
London,2023-07-01,4.2541379310344825,3.77,1.8829356207061718,29,1
London,2023-08-01,3.8752,3.77,1.2021685960518738,25,1
London,2023-09-01,8.699655172413793,5.9,5.651707379670209,29,1
London,2023-10-01,5.821785714285714,5.33,2.349466532942742,28,1
London,2023-11-01,5.921724137931035,4.88,2.7868659675668406,29,1
London,2023-12-01,5.685566666666666,5.615,2.7007651493519425,30,1
London,2024-01-01,6.970689655172414,6.28,2.7439503991696803,29,1
London,2024-02-01,4.9840740740740745,4.59,2.0610327121265786,27,1
London,2024-03-01,8.592857142857143,4.835,7.815105438564025,28,1
London,2024-04-01,4.319047619047619,4.13,1.2404269618236488,21,1
London,2024-05-01,8.169666666666668,7.0649999999999995,4.303289426131767,30,1
London,2024-06-01,5.191,4.955,1.8145225457308367,30,1
London,2024-07-01,5.580322580645161,4.94,2.4663096370501516,31,1
London,2024-08-01,6.526774193548387,5.67,3.2638580311208125,31,1
London,2024-09-01,7.763571428571429,5.66,5.902928472399488,28,1
London,2024-10-01,5.166153846153846,4.455,2.2589698128537745,26,1
London,2025-03-01,7.1450000000000005,7.1450000000000005,2.4536605307173205,2,1
London,2025-04-01,12.316666666666666,10.8,6.204190891275397,27,1
London,2025-05-01,7.596666666666667,6.675,4.122572291525107,30,1
London,2025-06-01,6.118,5.029999999999999,3.062892930457785,30,1
London,2025-07-01,5.152413793103449,4.94,2.187953471646203,29,1
London,2025-08-01,5.742258064516129,4.53,3.2033406621602802,31,1
London,2025-09-01,4.076551724137931,3.71,1.3743758995633228,29,1
London,2025-10-01,5.6252,4.71,3.4049976994607984,25,1
London,2025-11-01,4.639090909090909,4,2.3367860601495147,11,1
London,2025-12-01,4.771428571428571,4.325,1.9066235042118795,14,1
Manchester,2016-02-01,29.15,29.15,1.2020815280171302,2,2
Manchester,2016-03-01,13.201774193548387,9.625,9.148217155736054,62,2
Manchester,2016-04-01,9.848166666666666,8.065,4.858198903083416,60,2
Manchester,2016-05-01,12.538166666666667,9.79,7.364170127493433,60,2
Manchester,2016-06-01,9.580338983050847,7,6.932565571298309,59,2
Manchester,2016-07-01,5.234186046511628,4.43,2.9529043270249327,43,2
Manchester,2016-08-01,5.581666666666666,5.13,2.8870136859043245,60,2
Manchester,2016-09-01,7.44,5.415,6.217412399797245,60,2
Manchester,2016-10-01,9.135172413793104,7.25,6.821840889939219,58,2
Manchester,2016-11-01,8.999444444444444,8.13,6.832289699630905,36,2
Manchester,2016-12-01,16.699966666666665,16,9.437547228691642,60,2
Manchester,2017-01-01,15.41843137254902,15.2,9.774223523646066,51,2
Manchester,2017-02-01,12.37888888888889,9.48,10.225143753506558,54,2
Manchester,2017-03-01,9.496415094339623,8.33,5.910280513432513,53,2
Manchester,2017-04-01,8.705,6.3100000000000005,6.768398648888101,38,2
Manchester,2017-05-01,10.135,9.105,5.5742757377079934,62,2
Manchester,2017-06-01,6.411166666666667,5.835,3.560709361657041,60,2
Manchester,2017-07-01,6.949736842105263,6.67,2.9481670777053037,38,2
Manchester,2017-08-01,6.4615909090909085,6,2.545471074583905,44,2
Manchester,2017-09-01,9.012678571428571,7.045,7.181304386725659,56,2
Manchester,2017-10-01,7.579137931034483,6.16,3.736935739009084,58,2
Manchester,2017-11-01,13.013103448275862,9.184999999999999,19.155640203426923,58,2
Manchester,2017-12-01,10.782783333333333,9.27,5.730054136732654,60,2
Manchester,2018-01-01,11.024259259259258,7.885,8.12290834658302,54,2
Manchester,2018-02-01,11.33943396226415,9.88,5.598248151497704,53,2
Manchester,2018-03-01,12.164310344827586,10.65,6.614196881952066,58,2
Manchester,2018-04-01,11.283,9.32,5.801092036294488,60,2
Manchester,2018-05-01,13.848870967741936,14.6,5.540040570615105,62,2
Manchester,2018-06-01,13.906333333333334,11.75,8.41635835873205,60,2
Manchester,2018-07-01,13.419722222222223,13.65,4.778517095807091,36,2
Manchester,2018-08-01,8.585666666666667,8.215,2.957857662907901,30,1
Manchester,2018-09-01,5.30219512195122,5,1.847530124510994,41,2
Manchester,2018-10-01,7.256833333333334,5.96,4.4697436667361234,60,2
Manchester,2018-11-01,11.549310344827585,9,7.536607702168286,58,2
Manchester,2018-12-01,8.344310344827585,6.65,4.507167045849239,58,2
Manchester,2019-01-01,13.306346153846153,10.3,8.157614277554282,52,2
Manchester,2019-02-01,16.00307692307692,11.95,11.020009170214601,52,2
Manchester,2019-03-01,10.905833333333334,7.275,10.150997327918693,60,2
Manchester,2019-04-01,18.838474576271185,12.6,12.086647778830777,59,2
Manchester,2019-05-01,8.699298245614035,8.04,3.258310725584832,57,2
Manchester,2019-06-01,7.513333333333333,6.35,4.055137217543612,60,2
Manchester,2019-07-01,7.742545454545454,7.79,3.275489343244828,55,2
Manchester,2019-08-01,5.9565,4.92,3.955511419932995,60,2
Manchester,2019-09-01,4.863833333333333,4.3149999999999995,2.8327773349450767,60,2
Manchester,2019-10-01,5.033616666666666,4.52,3.0505116663989598,60,2
Manchester,2019-11-01,10.972103448275861,9.25,8.168340967696519,58,2
Manchester,2019-12-01,8.1496,6.505,5.056080357653628,60,2
Manchester,2020-01-01,8.923666666666668,6.605,4.925627884493222,60,2
Manchester,2020-02-01,7.478928571428571,6.65,3.6638775677100393,56,2
Manchester,2020-03-01,10.367666666666667,7.154999999999999,7.145259983092897,60,2
Manchester,2020-04-01,11.8705,10.05,5.877830057635273,60,2
Manchester,2020-05-01,7.144032258064517,6.470000000000001,2.5026127066723878,62,2
Manchester,2020-06-01,7.942241379310345,7.245,3.9125053861757433,58,2
Manchester,2020-07-01,4.148958333333334,4,1.230431924826077,48,2
Manchester,2020-08-01,6.4594736842105265,4.91,3.902104478470849,57,2
Manchester,2020-09-01,7.396949152542373,6.46,3.4554321323834287,59,2
Manchester,2020-10-01,6.082166666666667,5.46,2.5896136035747133,60,2
Manchester,2020-11-01,11.329655172413792,6.585,9.902892536060474,58,2
Manchester,2020-12-01,8.380877192982457,6.54,5.2403289430223445,57,2
Manchester,2021-01-01,10.0685,7.9399999999999995,5.932077357862169,60,2
Manchester,2021-02-01,7.332040816326531,6.67,2.323036787260586,49,2
Manchester,2021-03-01,11.666206896551724,8.15,8.004398314520303,58,2
Manchester,2021-04-01,9.737678571428571,8.755,4.321162718558483,56,2
Manchester,2021-05-01,7.060545454545455,5.92,3.1243407708707527,55,2
Manchester,2021-06-01,7.599310344827586,6.885,3.392484915514934,58,2
Manchester,2021-07-01,8.683958333333333,8.61,3.547606768719018,48,2
Manchester,2021-08-01,6.662068965517241,6.465,1.777052318455688,58,2
Manchester,2021-09-01,9.58813559322034,8.17,5.548338202460598,59,2
Manchester,2021-10-01,6.521333333333333,6,2.596403292344464,60,2
Manchester,2021-11-01,9.797413793103448,7.65,5.32801683270905,58,2
Manchester,2021-12-01,10.559833333333334,8.6,5.980424136556482,60,2
Manchester,2022-01-01,13.129666666666667,9.995000000000001,7.216990538263061,60,2
Manchester,2022-02-01,6.902037037037037,6.8149999999999995,1.8921908831365344,54,2
Manchester,2022-03-01,16.294666666666668,12,10.466963114301977,60,2
Manchester,2022-04-01,9.812068965517241,9.105,4.845987219907951,58,2
Manchester,2022-05-01,7.44483870967742,6.245,3.6675956934046416,62,2
Manchester,2022-06-01,7.1081666666666665,7,1.756541760050771,60,2
Manchester,2022-07-01,6.055967741935484,5.34,2.4110221352462267,62,2
Manchester,2022-08-01,7.073225806451613,6.5,2.535126843396597,62,2
Manchester,2022-09-01,7.246,6.875,2.454777562500507,60,2
Manchester,2022-10-01,7.458666666666667,7.1899999999999995,2.1265285363284474,60,2
Manchester,2022-11-01,9.802758620689655,7.96,5.9247414017453925,58,2
Manchester,2022-12-01,15.262833333333333,14.15,10.363570501090512,60,2
Manchester,2023-01-01,9.55826923076923,7.96,5.947388855674675,52,2
Manchester,2023-02-01,21.3525,20.35,11.81550041259362,8,2
Manchester,2023-03-01,5.67909090909091,5.87,1.5426813672517732,22,2
Manchester,2023-04-01,11.101153846153846,10.600000000000001,4.76031003020921,52,2
Manchester,2023-05-01,9.1445,8.77,2.323619637621223,60,2
Manchester,2023-06-01,9.65793103448276,8.655,4.225625982328385,58,2
Manchester,2023-07-01,5.240344827586207,5,1.5289475402257102,58,2
Manchester,2023-08-01,5.3629411764705885,5.18,1.301080003870088,51,2
Manchester,2023-09-01,9.662931034482758,7.025,5.947630519978343,58,2
Manchester,2023-10-01,8.19125,7.755,3.4086409248475342,56,2
Manchester,2023-11-01,9.806724137931035,8.065000000000001,4.831271086218403,58,2
Manchester,2023-12-01,9.364666666666666,8.455,4.4017117112210515,60,2
Manchester,2024-01-01,9.557213114754099,8.84,3.89836467045159,61,2
Manchester,2024-02-01,8.56625,8.35,3.2753689937859742,56,2
Manchester,2024-03-01,11.560833333333333,8.469999999999999,8.188069719687496,60,2
Manchester,2024-04-01,6.61952380952381,6.13,1.9046322894343322,42,2
Manchester,2024-05-01,10.818852459016394,9.96,4.478042763812726,61,2
Manchester,2024-06-01,7.333333333333333,5.955,3.0682826128129728,60,2
Manchester,2024-07-01,5.789032258064516,5.755,1.650654822549116,62,2
Manchester,2024-08-01,8.347285714285714,7.045,3.4182455544924584,70,3
Manchester,2024-09-01,9.065555555555555,6.82,5.800632881222668,90,3
Manchester,2024-10-01,7.2020987654320985,6.96,2.681212279944179,81,3
Manchester,2025-03-01,10.826666666666666,9.96,2.1200534584454855,6,3
Manchester,2025-04-01,10.41840909090909,9.235,4.807779827030742,88,3
Manchester,2025-05-01,7.910108695652174,7.71,3.5283475242373283,92,3
Manchester,2025-06-01,7.238777777777778,6,3.21672833575008,90,3
Manchester,2025-07-01,7.096,6.04,4.006571150117315,85,3
Manchester,2025-08-01,7.4847311827956995,6.82,3.03894382088861,93,3
Manchester,2025-09-01,5.030786516853933,4.48,1.9905214167964205,89,3
Manchester,2025-10-01,8.660769230769231,7.045,5.009889640081327,78,3
Manchester,2025-11-01,7.252777777777778,6.325,3.1035496830114764,36,3
Manchester,2025-12-01,5.860714285714286,5.725,1.813350749514983,42,3
Sheffield,2016-02-01,28.5,28.5,NA,1,1
Sheffield,2016-03-01,14.676451612903225,11.3,10.91003194263185,31,1
Sheffield,2016-04-01,9.919,8.75,5.483577582513836,30,1
Sheffield,2016-05-01,14.032580645161291,8.75,9.569476115142333,31,1
Sheffield,2016-06-01,9.829310344827586,8.26,5.278036655420327,29,1
Sheffield,2016-07-01,5.724642857142857,4.915,2.474530231725785,28,1
Sheffield,2016-08-01,7.299677419354839,6.77,2.6239785109269573,31,1
Sheffield,2016-09-01,9.122333333333334,7.02,6.215978122788763,30,1
Sheffield,2016-10-01,9.361333333333333,8.085,4.077027089075749,30,1
Sheffield,2016-11-01,10.167,8.105,4.843463419366027,20,1
Sheffield,2016-12-01,19.685,17.05,11.280753444511674,30,1
Sheffield,2017-01-01,18.423478260869565,12.9,12.664144305405806,23,1
Sheffield,2017-02-01,16.235185185185184,14.3,12.361275254840251,27,1
Sheffield,2017-03-01,10.420666666666667,8.23,5.730018314548172,30,1
Sheffield,2017-04-01,10.771578947368422,7.79,6.461394124729409,19,1
Sheffield,2017-05-01,12.245483870967742,12,4.275477235513931,31,1
Sheffield,2017-06-01,9.518,8.875,3.483047021176163,30,1
Sheffield,2017-07-01,10.284,9.25,2.7682588105351105,20,1
Sheffield,2017-08-01,8.503181818181819,8.280000000000001,3.9251659186813357,22,1
Sheffield,2017-09-01,5.670333333333334,3.7249999999999996,5.742581110971961,30,1
Sheffield,2017-10-01,4.209,2.975,3.3276007199969375,30,1
Sheffield,2017-11-01,6.5200000000000005,5.67,5.483654933397198,29,1
Sheffield,2017-12-01,4.625266666666667,3.855,2.8931005433657138,30,1
Sheffield,2018-01-01,7.883666666666667,5.72,5.9402690542417025,30,1
Sheffield,2018-02-01,8.7484,6.67,6.506547778968506,25,1
Sheffield,2018-03-01,13.30846153846154,10.17,10.91884231676882,26,1
Sheffield,2018-04-01,10.416666666666666,9.370000000000001,6.076040188133723,30,1
Sheffield,2018-05-01,12.197741935483872,12.8,6.60428028361275,31,1
Sheffield,2018-06-01,10.21103448275862,9.38,6.215529137817165,29,1
Sheffield,2018-07-01,8.537692307692307,8.58,3.4240529291379924,26,1
Sheffield,2018-08-01,4.938,4.58,1.4004516512847587,30,1
Sheffield,2018-09-01,5.099523809523809,4.9,1.8353977121879503,21,1
Sheffield,2018-10-01,8.480333333333334,5.859999999999999,6.651700577650247,30,1
Sheffield,2018-11-01,15.862068965517242,11,13.128319003292722,29,1
Sheffield,2018-12-01,10.583333333333334,7.09,7.00747128757256,27,1
Sheffield,2019-01-01,9.0428,8.83,4.811759484152687,25,1
Sheffield,2019-02-01,16.088148148148147,11.6,11.574964375102859,27,1
Sheffield,2019-03-01,9.026666666666667,5.52,8.851702868836082,30,1
Sheffield,2019-04-01,17.815666666666665,14.600000000000001,11.078430015538997,30,1
Sheffield,2019-05-01,8.269354838709678,8.17,3.6723034873531097,31,1
Sheffield,2019-06-01,5.8427999999999995,5.13,2.0547577310557403,25,1
Sheffield,2019-07-01,4.5603225806451615,4.39,1.783598392521829,31,1
Sheffield,2019-08-01,5.365,4.470000000000001,2.87102498818081,30,1
Sheffield,2019-09-01,4.442333333333333,3.955,1.9644999071156686,30,1
Sheffield,2019-10-01,5.356333333333334,4.395,2.7044605343042436,30,1
Sheffield,2019-11-01,11.496206896551724,12,5.583648585566036,29,1
Sheffield,2019-12-01,9.494333333333334,7.8100000000000005,5.1271627452317095,30,1
Sheffield,2020-01-01,8.107666666666667,5.775,5.022522160287072,30,1
Sheffield,2020-02-01,5.5675,4.67,3.38469717995569,28,1
Sheffield,2020-03-01,9.057333333333332,5.96,7.164759511007659,30,1
Sheffield,2020-04-01,10.537666666666667,10.155000000000001,3.8036921113782225,30,1
Sheffield,2020-05-01,6.1890322580645165,5.73,2.6389219450863006,31,1
Sheffield,2020-06-01,8.158275862068965,6.27,4.6696352480417245,29,1
